"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_1_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_1_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","90e8b1979cd49bba552ba690be7ffb96821dc5f0","90e8b1979cd49bba552ba690be7ffb96821dc5f0"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 271)","(512, 512, 271)"
"diagnostics","Image-original","Mean","-1125.0118451276828","-1125.0118451276828"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","783bf9d13930cbe09afef0b5e06cbf177546c812","c75c634340375f452cdb40bbd5a1f196b83070ab"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 271)","(512, 512, 271)"
"diagnostics","Mask-original","BoundingBox","(114, 161, 193, 32, 41, 12)","(122, 234, 197, 22, 16, 7)"
"diagnostics","Mask-original","VoxelNum","3379","620"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(130.0878958271678, 179.72861793430008, 198.08256880733944)","(133.25806451612902, 242.59516129032258, 199.90483870967742)"
"diagnostics","Mask-original","CenterOfMass","(-122.96110427522937, -74.48386141284405, -224.17000000000007)","(-119.86523800000003, -13.09078409999998, -218.21117741935495)"
"original","shape","Elongation","0.7340719230607494","0.4498942438996548"
"original","shape","Flatness","0.570158026001594","0.402191725587633"
"original","shape","LeastAxisLength","23.74725156247472","10.729693674892694"
"original","shape","MajorAxisLength","41.650297776231476","26.678056738277718"
"original","shape","Maximum2DDiameterColumn","42.6073842803676","25.71538568517952"
"original","shape","Maximum2DDiameterRow","45.23108997139308","22.85330087618714"
"original","shape","Maximum2DDiameterSlice","44.96429117054199","19.652931146188344"
"original","shape","Maximum3DDiameter","52.94709411566701","29.449524653953922"
"original","shape","MeshVolume","10386.593434783523","1879.293186304809"
"original","shape","MinorAxisLength","30.574314184651094","12.002304164979543"
"original","shape","Sphericity","0.4629386260985253","0.6581140379475366"
"original","shape","SurfaceArea","4972.896963369994","1119.0409928307643"
"original","shape","SurfaceVolumeRatio","0.47878036187652506","0.5954584420279291"
"original","shape","VoxelVolume","10537.451444138505","1933.4773291997258"
"original","firstorder","10Percentile","-105.19999999999999","-88.0"
