"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_2_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_2_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","b3edd2f2b8ff2aa8d970edf2cc7250aee2a3d69e","b3edd2f2b8ff2aa8d970edf2cc7250aee2a3d69e"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Image-original","Mean","-1211.6829278345601","-1211.6829278345601"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","0359c130a74890cb98229c9faa098d298e55bc64","4700e17502b870a0fdd059818cf09e07307d7a81"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Mask-original","BoundingBox","(335, 175, 168, 13, 11, 3)","(364, 228, 182, 19, 17, 3)"
"diagnostics","Mask-original","VoxelNum","216","459"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(341.26851851851853, 181.33333333333334, 168.75462962962962)","(371.80392156862746, 235.10239651416123, 183.0087145969499)"
"diagnostics","Mask-original","CenterOfMass","(83.2698669814815, -72.91675733333332, -275.1723611111112)","(113.08958125490196, -20.407933455337684, -228.561503267974)"
"original","shape","Elongation","0.7407670139811078","0.8867003480544774"
"original","shape","Flatness","0.6115357835293266","0.5865512279609082"
"original","shape","LeastAxisLength","7.893223929422027","9.323181369533314"
"original","shape","MajorAxisLength","12.907215149158157","15.894914075867684"
"original","shape","Maximum2DDiameterColumn","13.420155026583561","20.13023253987534"
"original","shape","Maximum2DDiameterRow","11.95684296343964","18.449294701967986"
"original","shape","Maximum2DDiameterSlice","14.41876513734765","18.00691354860571"
"original","shape","Maximum3DDiameter","15.06089488011559","20.505731773018"
"original","shape","MeshVolume","638.6452334016568","1390.0766443399655"
"original","shape","MinorAxisLength","9.561239224853606","14.094025843367888"
"original","shape","Sphericity","0.7580469988930078","0.781472370138754"
"original","shape","SurfaceArea","473.10888971850534","770.7786227964577"
"original","shape","SurfaceVolumeRatio","0.7408007841827227","0.5544864205400976"
"original","shape","VoxelVolume","673.5985533986142","1431.396925972055"
"original","firstorder","10Percentile","-117.0","-106.19999999999999"
